url,nom,prix,duree,taux_rentabilite,status
https://app.bricks.co/properties/eae63222-4437-4ab3-bbb9-e574e3fc163e,Villa Lurin St Barthélémy,3100000,3 ans,"11,00 % /an",Collecte en cours
https://app.bricks.co/properties/22804cd3-c3a4-4d39-8bc4-886fae3f0d3b,Immeuble Holbach,470000,1 an,"11,00 % /an",Collecte à venir
https://app.bricks.co/properties/840cb496-e6d4-455c-891a-984b8080d924,Entrepôt des Frères Lumière,1222000,2 ans,"11,00 % /an",Collecte à venir
https://app.bricks.co/properties/128bf710-ddcb-4aca-a58b-e8932d7cbc0d,Division Le Presbytère,122000,1 an et 6 mois,"12,00 % /an",Objectif atteint
https://app.bricks.co/properties/dc460251-34c7-4bf9-9d57-efe7165445b5,Immeuble Dax,410000,3 ans,"10,00 % /an",Objectif atteint
https://app.bricks.co/properties/14446c3c-1b82-43dd-a4b4-ee0576de24f2,2 lotissements Taupont - Tranche 1,300000,2 ans,"11,00 % /an",Objectif atteint
https://app.bricks.co/properties/4fd7eb81-5d01-4494-8b1a-529c3664521d,Villa Anglet Chiberta,785000,1 an,"10,00 % /an",Objectif atteint
https://app.bricks.co/properties/f94cfc43-60e1-4325-bc0e-02a4eba17986,Appartements Lescot,550000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/f6d626d3-fdaf-4b1b-aafa-1e1b067941d5,Duplex Cros de Cagnes,400000,3 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/5a0790c1-5c3c-445e-8d92-e0f33c60dfb7,Immeuble Exelmans,524000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/dcb81029-1396-4851-af4b-012807f4d1b8,Maison Ploemeur,108000,1 an,"10,00 % /an",Financé
https://app.bricks.co/properties/4f8cd97a-64d7-4b21-90d9-46170c590571,216 appartements Montluçon,4530000,3 ans,"12,00 % /an",Remboursé
https://app.bricks.co/properties/c6bca783-b116-433f-8dcf-b43bd11233c1,2 Villas en Airbnb - Fitou,500000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/9bc77ec7-8051-49ff-92f0-16d70f8b88c8,Garage Candé-sur-Beuvron,220000,3 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/b695cba2-7b3f-4e8c-a2bd-143b031f31ed,Rénovation maison Sainte Marie La Hume,870000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/85b82581-6a5e-4c70-a4f2-d65c9a4ff731,Division Sanary-sur-Mer,1030000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/238940c8-c23f-4967-8d55-0cf1f6ba1e13,Division Biscarrosse,662000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/1951b228-24e5-45bc-b3e5-46f02754ef71,Parc de tourisme et commercial Sommières,2150000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/ca132cd6-3c06-45eb-acdd-22828627601b,Division Herepian,165000,3 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/ba897bfc-d3f4-482e-aadf-7cb3986b8f71,Immeuble Royat,160000,1 an,"11,00 % /an",Financé
https://app.bricks.co/properties/8152b48a-2edb-4fef-966e-acc39d1ffcef,24 logements Cayenne,500000,1 an,"11,00 % /an",Financé
https://app.bricks.co/properties/23adf80f-5de3-4c80-a2bf-fad66e729c43,Complexe de soins Bradford,2400000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/a99f13fe-a624-48f9-ada8-c1d7756f2c49,Villa Sainte-Maxime,4300000,1 an et 6 mois,"12,00 % /an",Financé
https://app.bricks.co/properties/21ff956a-52d8-49c9-85cc-6f7ab5be688b,Parc de locaux Saint Jory,2400000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/5b5cc89a-fea0-4536-8597-a272110fd7fe,Locaux Triangle d'Or Deauville,1350000,1 an,"11,00 % /an",Financé
https://app.bricks.co/properties/ce0031ea-8492-46af-aeff-220e4286c920,Domaine Saint-François,188000,3 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/5082c84d-0015-4ab1-b7e8-29c2c5246dbe,Parc activité Pointe d’Abeau,2270000,1 an et 6 mois,"10,00 % /an",Financé
https://app.bricks.co/properties/884be45f-aab8-4450-b3b4-ffcc04e9f63b,Le Sommet des Icônes,855000,1 an et 6 mois,"10,00 % /an",Financé
https://app.bricks.co/properties/ed2ae9e3-d9bf-42ef-8c0a-d257a7a7bb92,Appartement La Bocca,170000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/143f83c0-5bf4-49c8-961d-b06e4487ee2b,Appartements Soly,472000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/758651e3-b851-41d7-bf74-ac4fddd519cc,Maison Alphonse Daudet,81000,1 an,"9,00 % /an",Financé
